Title,Category,Link,Date,Author,Description,Polarity
Bitcoin tumbles as Putin orders military into Eastern Ukraine ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-tumbles-as-putin-orders-military-into-eastern-ukraine/,24 Feb 2022 / ,"Joanna Ossinger, Bloomberg",The largest token fell as much as 7.4% to $34 783 after an initial Tass report on Russia’s decision. ,Positive
Bitcoin extends dip below $40 000 ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-extends-dip-below-40-000-as-ukraine-tensions-boost-gold/,22 Feb 2022 / ,"Joanna Ossinger, Bloomberg",As Ukraine tensions boost gold. ,Neutral
Bitcoin falls below $41 000 as Russia-Ukraine tensions weigh ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-falls-below-41-000-as-russia-ukraine-tensions-weigh/,18 Feb 2022 / ,"Akayla Gardner, Bloomberg",Testing its 50-day moving average. ,Negative
Bullish Bitcoin chart may point to move toward $53 000 ,Bitcoin  ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bullish-bitcoin-chart-may-point-to-move-toward-53-000/,15 Feb 2022 / ,"Akshay Chinchalkar, Bloomberg","The pattern, a so-called reverse head and shoulders, is often viewed as signaling a flip in a downtrend. ",Neutral
Big bitcoin miners aren’t immune to the need for cash ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/big-bitcoin-miners-arent-immune-to-the-need-for-cash/,15 Feb 2022 / ,"Crystal Kim, Bloomberg",A pair of big Bitcoin miners are poised to sell their stock in the face of a drop in token prices that has led other miners to trade in some their Bitcoin holdings. ,Negative
Cryptocurrency has an impact on economies ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/cryptocurrency-has-an-impact-on-economies/,13 Feb 2022 / ,Kelsie Nabben,That’s why some are afraid of it – and some welcome it. ,Positive
Crypto theft is on the rise ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/crypto-theft-is-on-the-rise/,12 Feb 2022 / ,Aaron M. Lane,"Here’s how the crimes are committed, and how you can protect yourself. ",Neutral
Recent bitcoin buyers are likely underwater even after rebound ,Bitcoin ,https://www.moneyweb.co.za/news-fast-news/recent-bitcoin-buyers-are-likely-underwater-even-after-rebound/,10 Feb 2022 / ,Ciaran Ryan,Bitcoin is down about 35% since it peaked. ,Negative
Creditors voice fury at MTI liquidators after all investor claims rejected ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/creditors-voice-fury-at-mti-liquidators-after-all-investor-claims-rejected/,8 Feb 2022 / ,"Akayla Gardner, Bloomberg",For being ‘illegible’. ,Neutral
Bitcoin notches longest rally since September ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-notches-longest-rally-since-september/,7 Feb 2022 / ,Bloomberg News,Shiba Inu jumps. ,Neutral
Bitcoin climbs back above $40 000 ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-climbs-back-above-40-000/,5 Feb 2022 / ,"Joanna Ossinger, Bloomberg",As risk appetite returns. ,Neutral
" Bitcoin analysis shows prices may bottom soon, Fundstrat says ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-analysis-shows-prices-may-bottom-soon-fundstrat-says/,3 Feb 2022 / ,"Vildana Hajric and Akayla Gardner, Bloomberg",Prices moving above $40 000 would be important for bulls - Fundstrat’s Mark Newton. ,Positive
Bitcoin January loss is worst start to year since ‘crypto winter’ ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-january-loss-is-worst-start-to-year-since-crypto-winter/,1 Feb 2022 / ,"Evgenia Pismennaya, Bloomberg","It’s a much trickier environment than it was six, 12, 18 months ago where it was ‘green-light go.’ Now it’s ‘yellow-light caution': chief market strategist at FS Investments. ",Positive
Putin backs crypto mining despite bank of Russia’s hard line ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/putin-backs-crypto-mining-despite-bank-of-russias-hard-line/,28 Jan 2022 / ,"Antony Sguazzin, Bloomberg","President Vladimir Putin backs a Russian government proposal to tax and regulate mining of cryptocurrencies, rejecting the central bank’s proposal to ban it completely. ",Positive
Bitcoin-paying solar power company plans African expansion ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-paying-solar-power-company-plans-african-expansion/,27 Jan 2022 / ,"Akayla Gardner and Joanna Ossinger, Bloomberg","The company, raised $1.4m for a solar panel and battery-storage project at a Zimbabwean fruit and berry producer, in what it says is the biggest crowd-funded project in Africa. ",Neutral
Bitcoin drops as Fed signal of March liftoff dents risk appetite ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-drops-as-fed-signal-of-march-liftoff-dents-risk-appetite/,27 Jan 2022 / ,"Emily Nicolle and Joanna Ossinger, Bloomberg",The largest digital token by market value dropped to $35 790 at 10:05 a.m. in Hong Kong after having risen as high as $38 927 on Wednesday. ,Positive
Bitcoin advances along with US futures ahead of Fed meeting ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-advances-along-with-us-futures-ahead-of-fed-meeting/,26 Jan 2022 / ,Ciaran Ryan,The world’s largest cryptocurrency by market value advanced close to $38 000 at 2 p.m. in Hong Kong. ,Positive
Bitcoin’s cliff dive: we’ve seen worse ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoins-cliff-dive-weve-seen-worse/,26 Jan 2022 / ,"Eddie Spence, Ranjeetha Pakiam and Yvonne Yue Li, Bloomberg","Bitcoin is down 45% from its November peak, but there have been far worse pullbacks in the past. Far worse. ",Negative
These investors are sticking with gold despite easy money ending ,Bitcoin ,https://www.moneyweb.co.za/mineweb/these-investors-are-sticking-with-gold-despite-easy-money-ending/,25 Jan 2022 / ,"Emily Nicolle and Akayla Gardner, Bloomberg","The end of an easy-money era should normally spell bad news for gold. But right now, fund managers are keeping their holdings. ",Negative
Bitcoin bounces off lows as crypto rout shows signs of easing ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-bounces-off-lows-as-crypto-rout-shows-signs-of-easing/,24 Jan 2022 / ,"Emily Nicolle, Bloomberg",After falling to its lowest level since July.   ,Neutral
"Ether, solana, memecoins get crushed in Crypto market rout ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/ether-solana-memecoins-get-crushed-in-crypto-market-rout/,23 Jan 2022 / ,"Stacy-Marie Ishmael and Katie Greifeld, Bloomber",The risk-off attitude and selling pressure across the global crypto market showed no sign of abating on Saturday. ,Neutral
Bitcoin has lost half its value since hitting record high ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-has-lost-half-its-value-since-hitting-record-high/,22 Jan 2022 / ,"Joanna Ossinger, Bloomberg","Bitcoin’s decline from its peak has wiped out more than $600 billion in market value, and over $1 trillion has been lost from the aggregate crypto market. ",Positive
Crypto crash erases more than $1trn in market value ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/crypto-crash-erases-more-than-1trn-in-market-value/,22 Jan 2022 / ,"Vildana Hajric, Bloomberg","For Bitcoin, there’s only been one constant recently: decline after decline after decline. ",Neutral
Bitcoin tumbles below $40 000 to lowest level in five months ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-tumbles-below-40-000-to-lowest-level-in-five-months/,21 Jan 2022 / ,Joanna Ossinger," Other cryptocurrencies also dropped, such as Binance Coin, Cardano and Solana.  ",Negative
Bank of Russia seeks to outlaw mining and trading of Crypto ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bank-of-russia-seeks-to-outlaw-mining-and-trading-of-crypto/,21 Jan 2022 / ,"Evgenia Pismennaya and Andrey Biryukov, Bloomberg",Citing the dangers posed to the country’s financial system and environment.  ,Neutral
Bitcoin’s correlation with tech strengthens as risk appetite returns ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoins-correlation-with-tech-strengthens-as-risk-appetite-returns/,21 Jan 2022 / ,"Akayla Gardner and Emily Nicolle, Bloomberg",Bitcoin is proving once again that its long-touted classification as an uncorrelated asset is more folklore than fact. ,Positive
Singapore’s wary crypto embrace leaves top mogul in the cold ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/singapores-wary-crypto-embrace-leaves-top-mogul-in-the-cold/,12 Jan 2022 / ,"Chanyaporn Chanjaroen, Bloomberg",Binance Holdings Chief Executive Officer Changpeng Zhao was putting on a brave face. ,Positive
Bitcoin death cross is staring down bulls after a painful retreat ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-death-cross-is-staring-down-bulls-after-a-painful-retreat/,12 Jan 2022 / ,"Vildana Hajric and Emily Graffeo, Bloomberg",The measure shows up whenever an asset’s average price over the last 50 days drops below that of its 200-day moving average. ,Negative
Africrypt losses probed by SAPS after brothers vanish ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/crypto-losses-probed-by-saps-after-brothers-vanish/,11 Jan 2022 / ,"Loni Prinsloo, Bloomberg","'There are multiple victims in these cases,' said Nkwalase. ",Neutral
Only 5% of JPMorgan’s clients see Bitcoin at $100 000 by Yearend ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/only-5-of-jpmorgans-clients-see-bitcoin-at-100-000-by-yearend/,11 Jan 2022 / ,"Vildana Hajric, Bloomberg",The largest digital asset by market value has dropped about 40% since November. ,Neutral
How would the market react to a Bitcoin hack? ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/how-would-the-market-react-to-a-bitcoin-hack/,11 Jan 2022 / ,Daniel Strauss,Crypto bulls don't seem to be fazed by much. ,Positive
Bitcoin is off to its worst annual start since the dawn of crypto ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-is-off-to-its-worst-annual-start-since-the-dawn-of-crypto/,10 Jan 2022 / ,"Emily Graffeo, Bloomberg","The original cryptocurrency fell a much as 3.7% to $40 766 in New York trading, bringing its loss this year to about 12%. ",Positive
Bitcoin poised for a breakout – but which way? ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin-poised-for-a-breakout-but-which-way/,6 Jan 2022 / ,Ciaran Ryan,Crypto research company Glassnode points to several bullish indicators. ,Neutral
Bitcoin at $100 000 or popped by US Fed? ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-at-100-000-or-popped-by-us-fed/,4 Jan 2022 / ,"Joanna Ossinger, Bloomberg",Analysts give their 2022 views. ,Neutral
Bitcoin’s volatility limits gains in 2021 ,Bitcoin ,https://www.moneyweb.co.za/news-fast-news/bitcoins-volatility-limits-gains-in-2021/,30 Dec 2021 / ,"Kriti Gupta, Bloomberg ",World's largest crypto is largely trading sideways. ,Positive
"Bitcoin holds drop, set for worst month since May crypto rout ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-holds-drop-set-for-worst-month-since-may-crypto-rout/,29 Dec 2021 / ,"Sunil Jagtiani, Bloomberg","The volatile token was trading at about $48 000 as of 1:40 p.m. Wednesday in Singapore, following a near 7% drop from a day earlier. ",Positive
Bitcoin’s volatility is on display again in slide below $50 000 ,Bitcoin ,https://www.moneyweb.co.za/news-fast-news/bitcoins-volatility-is-on-display-again-in-slide-below-50-000/,28 Dec 2021 / ,"Akshay Chinchalkar, Bloomberg","Smaller tokens such as Solana, Cardano, Polkadot and meme token Dogecoin also lost some ground. ",Neutral
Crypto barrels toward 2022 after adding $1.5trn in value ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/crypto-barrels-toward-2022-after-adding-1-5trn-in-value/,20 Dec 2021 / ,"Akshay Chinchalkar, Bloomberg",Cryptocurrencies were peerless conduits of greed and fear in 2021. ,Neutral
These are the countries with the clearest crypto tax policies ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/these-are-the-countries-with-the-clearest-crypto-tax-policies/,15 Dec 2021 / ," Joanna Ossinger, Bloomberg",Liechtenstein scored highest in a global ranking. ,Neutral
Bitcoin lingers near lows as central banks ready stimulus cuts ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-lingers-near-lows-as-central-banks-ready-stimulus-cuts/,15 Dec 2021 / ,"Vildana Hajric, Bloomberg",Bitcoin is down almost 30% from its record high of near $69 000 reached about a month ago. ,Positive
Bitcoin slide brings its loss since record high to more than 30% ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-slide-brings-its-loss-since-record-high-to-more-than-30/,14 Dec 2021 / ,"Vildana Hajric, Bloomberg","The decline pushed it below its average price over the last 200 days, which currently stands around $46 720.  ",Negative
Bitcoin approaches closely watched level ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-approaches-closely-watched-level/,13 Dec 2021 / ,"Vildana Hajric, Bloomberg",As slide accelerates. ,Neutral
Binance drops Singapore cryptocurrency bourse application ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/binance-drops-singapore-cryptocurrency-bourse-application/,13 Dec 2021 / ,"Chanyaporn Chanjaroen, Bloomberg",Ending an effort that started last year to win approval from Singapore’s authorities. ,Positive
Metaverse riches lure one of South Korea’s oldest conglomerates ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/metaverse-riches-lure-one-of-south-koreas-oldest-conglomerates/,13 Dec 2021 / ,"Sohee Kim, Bloomberg",Corporations the world over are laying bets on the metaverse. ,Neutral
FSCA working on regulatory framework covering cryptocurrencies ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/fsca-working-on-regulatory-framework-covering-cryptocurrencies/,10 Dec 2021 / ,"Adelaide Changole and Loni Prinsloo, Bloomberg","The rules, will establish how trading in coins such as Ethereum, XRP and Litecoin should be conducted, FSCA Commissioner Unathi Kamlana said. ",Neutral
Bitcoin hovers near its 2021 average into end of the year ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-hovers-near-its-2021-average-into-end-of-the-year/,10 Dec 2021 / ,"Joanna Ossinger, Bloomberg","Bitcoin has had a volatile year, ranging from about $28 000 at the start to a record high of around $69 000 in early November. ",Positive
"Crypto is the ‘top contender’ for correction, money managers say ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/crypto-is-the-top-contender-for-correction-money-managers-say/,8 Dec 2021 / ,"Vildana Hajric, Bloomberg",Money-managers say the asset class is ripe for a big selloff next year. ,Neutral
Self-described bitcoin creator must pay $100m in suit ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/self-described-bitcoin-creator-must-pay-100m-in-suit/,7 Dec 2021 / ,"Nathan Crooks and Jonathan Levin, Bloomberg",In damages over claims that he cheated a deceased friend over intellectual property for the cryptocurrency. ,Positive
"Bitcoin’s current holders are new, with 55% getting in this year ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoins-current-holders-are-new-with-55-getting-in-this-year/,7 Dec 2021 / ,"Vildana Hajric, Bloomberg",Interest and demand in Bitcoin rose a lot in 2021 despite the digital asset’s turbulence. ,Positive
Crypto crash weighs on DeFi tokens already in downward spiral ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/crypto-crash-weighs-on-defi-tokens-already-in-downward-spiral/,7 Dec 2021 / ,"Olga Kharif, Bloomberg","While Bitcoin and other rival coins have mostly steadied or climbed from lows of about 20% seen Saturday, many DeFi tokens tumbled more and have since failed to rebound. ",Positive
"Marathon digital, riot lead crypto stocks lower as bitcoin sinks ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/marathon-digital-riot-lead-crypto-stocks-lower-as-bitcoin-sinks/,6 Dec 2021 / ,"Matt Turner, Bloomberg",Stocks exposed to cryptocurrencies plunged in premarket trading on Monday. ,Neutral
Shock to crypto daredevils joins list of scary market omens ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/shock-to-crypto-daredevils-joins-list-of-scary-market-omens/,6 Dec 2021 / ,"Vildana Hajric, Lu Wang and Justina Lee, Bloomberg",Further stressing risk tolerances and brokerage balances among small-time traders. ,Neutral
MTI liquidators chasing down an additional R2bn in ‘possible debtors’ ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/mti-liquidators-chasing-down-an-additional-r2bn-in-possible-debtors/,6 Dec 2021 / ,Ciaran Ryan,On top of the R1bn in bitcoin already recovered from Belize-based broker FXChoice. ,Positive
Another mystery investor emerges to rescue Africrypt investors at 65c in the rand ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/another-mystery-investor-emerges-to-rescue-africrypt-investors-at-65c-in-the-rand/,6 Dec 2021 / ,Ciaran Ryan,Investors have seven days to accept the offer. ,Neutral
Investors are piling into crypto startups — just not in China ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/investors-are-piling-into-crypto-startups-just-not-in-china-2/,5 Dec 2021 / ,"Lizette Chapman, Bloomberg",A sign that China’s crackdown on alternative currencies has chilled the country’s upstart industry.  ,Neutral
Elizabeth Warren grills New York bitcoin miner on climate ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/elizabeth-warren-grills-new-york-bitcoin-miner-on-climate/,3 Dec 2021 / ,"Josh Saul, Bloomberg",The local environment and power prices as part of her campaign to crack down on wasteful cryptocurrency mining. ,Negative
Bitcoin stages bounceback ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-stages-bounceback/,29 Nov 2021 / ,"Vildana Hajric, Bloomberg",Following brutal Black-Friday selloff. ,Negative
Bitcoin retreats 20% from all-time high set earlier in November ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-retreats-20-from-all-time-high-set-earlier-in-november/,26 Nov 2021 / ,"Joanna Ossinger, Bloomberg",Bulls believe more institutions and retail investors will embrace virtual currencies. ,Positive
Crypto enthusiasts turn to technicals for guidance after slump ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/crypto-enthusiasts-turn-to-technicals-for-guidance-after-slump/,25 Nov 2021 / ,"Vildana Hajric, Bloomberg","On Wednesday, Bitcoin lost as much as 3.1% to trade at $55 908, while Ether fell 4.2% at one point to $4 168. ",Positive
Bitcoin miner Griid is in talks to go public via merger with Adit EdTech SPAC ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-miner-griid-is-in-talks-to-go-public-via-merger-with-adit-edtech-spac/,25 Nov 2021 / ,"Gillian Tan, Bloomberg",Terms aren’t finalised and talks could still fall apart. ,Neutral
Bitcoin’s Taproot upgrade a prelude to next move up ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoins-taproot-upgrade-a-prelude-to-next-move-up/,25 Nov 2021 / ,Ciaran Ryan,"The last time a technical upgrade this important happened, Bitcoin traded at $4 000. ",Positive
Crypto oversight road map is set by US banking regulators ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/crypto-oversight-road-map-is-set-by-us-banking-regulators/,24 Nov 2021 / ,"Jesse Hamilton, Bloomberg",Issuing a to-do list of their priorities for next year and announcing a new policy that would require banks to seek permission before offering digital currency products.  ,Positive
Bitcoin once again is a risk asset and no haven ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-once-again-is-a-risk-asset-and-no-haven/,24 Nov 2021 / ,"Vildana Hajric, Bloomberg","Prices stabilised on Tuesday, with the digital token gaining roughly 2% to $57 420 as of 1:59 p.m. in New York.  ",Positive
Bitcoin is selling off while some smaller altcoins hang tough ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-is-selling-off-while-some-smaller-altcoins-hang-tough/,23 Nov 2021 / ,"Vildana Hajric, Bloomberg",Bitcoin fell 5.9% as of 3:44 p.m. in New York Monday to trade around $56 029. Ether dropped roughly 6.6% to around $4 079. ,Positive
Stablecoin advocates make their case to US banking regulators ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/stablecoin-advocates-make-their-case-to-us-banking-regulators/,22 Nov 2021 / ,"Jesse Hamilton, Bloomberg",About how to issue a stablecoin that satisfies watchdogs amid deep Washington skepticism over the fast-growing corner of the cryptocurrency market. ,Neutral
Crypto 101 for beginners and professionals ,,https://www.moneyweb.co.za/moneyweb-crypto/crypto-101-for-beginners-and-professionals/,19 Nov 2021 / ,Ciaran Ryan,Easy Crypto has 80% of the market in New Zealand and is now offering some compelling features for crypto beginners and professionals alike in SA. ,Positive
Bitcoin’s slide extends to a fifth day for first time since May ,,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoins-slide-extends-to-a-fifth-day-for-first-time-since-may/,18 Nov 2021 / ,"Emily Graffeo and Vildana Hajric, Bloomberg",Some measures show Bitcoin’s selloff could soon exhaust itself.  ,Neutral
Bitcoin’s pandemic-era correlation with tech stocks disappears ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoins-pandemic-era-correlation-with-tech-stocks-disappears/,18 Nov 2021 / ,"Eric Lam, Bloomberg",Stirring the debate about what role the token can play in investment portfolios. ,Neutral
These are the crypto charts to watch as bitcoin drops below $60 000 ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/these-are-the-crypto-charts-to-watch-as-bitcoin-drops-below-60-000/,17 Nov 2021 / ," Joanna Ossinger, Bloomberg","To its lowest level in about three weeks amid a broader decline in cryptocurrencies, as concerns about US taxation and China’s continued crackdown swirled. ",Neutral
Bitcoin drops most since September in broad retreat from records ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-drops-most-since-september-in-broad-retreat-from-records-2/,17 Nov 2021 / ,"Joanna Ossinger and Anchalee Worrachate, Bloomberg",Bitcoin was down 5.4% to $60 450 as of 2:32 p.m. in New York. ,Negative
Bitcoin drops most since September in broad retreat from records ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-drops-most-since-september-in-broad-retreat-from-records/,16 Nov 2021 / ,"Joanna Ossinger and Anchalee Worrachate, Bloomberg",Bitcoin was down 4.9% to $60 786 as of 7:18 a.m. in New York. ,Negative
Coinbase co-founder launches $2.5bn crypto venture fund ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/coinbase-co-founder-launches-2-5bn-crypto-venture-fund/,16 Nov 2021 / ,"Crystal Kim, Bloomberg",Aimed at the 'next generation of crypto companies and protocols.' ,Neutral
"Cryptocurrency ether’s record run set for pause, charts suggest ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/cryptocurrency-ethers-record-run-set-for-pause-charts-suggest/,15 Nov 2021 / ,"Akshay Chinchalkar, Bloomberg",Due a breather after a record-breaking run. ,Negative
JPMorgan team suggests crypto’s DeFi boom slower than it seems ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/jpmorgan-team-suggests-cryptos-defi-boom-slower-than-it-seems/,14 Nov 2021 / ,"Joanna Ossinger, Bloomberg","The expansion in decentralised finance, one of the most-touted cryptocurrency trends, is less explosive than at first glance, according to an analysis by strategists at JPMorgan Chase & Co. ",Positive
Bitcoin smashes through R1 million – where to next? ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-smashes-through-r1-million-where-to-next/,10 Nov 2021 / ,Ciaran Ryan,This level was considered fanciful a few years ago. Experts say it could easily ramp up ten times from here over the next few years. ,Positive
Self-described bitcoin creator denies friend helped mine fortune ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/self-described-bitcoin-creator-denies-friend-helped-mine-fortune/,10 Nov 2021 / ,"Jonathan Levin, Bloomberg",The creator’s identity has been a mystery for years. ,Neutral
Bitcoin jumps past R1.02m level for first time to record high ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-jumps-past-r1-02m-level-for-first-time-to-record-high/,9 Nov 2021 / ,"Emily Graffeo and Joanna Ossinger, Bloomberg",Part of a wider recent rally in the cryptocurrency sector.  ,Neutral
"Crypto world hits $3trn market cap as ether, bitcoin gain ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/crypto-world-hits-3trn-market-cap-as-ether-bitcoin-gain/,8 Nov 2021 / ,Bloomberg News ,"Crypto has performed well in the past year, boosting the overall sector. ",Negative
"Nigeria penalises two individuals, firm for trading Crypto ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/nigeria-penalises-two-individuals-firm-for-trading-crypto/,8 Nov 2021 / ,"Emele Onu and Anthony Osae-Brown, Bloomberg",'For engaging in cryptocurrency trading in contravention of CBN circular' dated February 5. ,Positive
Bitcoin futures ETF mania cools as Wall Street hits pause button , Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-futures-etf-mania-cools-as-wall-street-hits-pause-button/,4 Nov 2021 / ,"Katie Greifeld, Bloomberg",For now -- after off-the-charts demand for the first one rattled Wall Street’s all-important middlemen.  ,Positive
Ether rises to a record high as use of Ethereum blockchain surges ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/ether-rises-to-a-record-high-as-use-of-ethereum-blockchain-surges/,29 Oct 2021 / ,"Eric Lam and Crystal Kim, Bloomberg",Soared to a record above $4 400 Friday on bullish sentiment surrounding an upgrade to the Ethereum network and rival Bitcoin’s recent rally to a high of its own.  ,Positive
Bitcoin slips below $60 000 as ETF-related bliss evaporates ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-slips-below-60-000-as-etf-related-bliss-evaporates/,28 Oct 2021 / ,"Joanna Ossinger and Vildana Hajric, Bloomberg",And traders took profits following a record-breaking rally. ,Neutral
Bitcoin breaks below $60 000 as ETF-related bliss evaporates ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-breaks-below-60-000-as-etf-related-bliss-evaporates/,27 Oct 2021 / ,"Joanna Ossinger and Vildana Hajric, Bloomberg",'Bitcoin needs to cool off before it embarks on its next leg up' - co-founder of Nexo. ,Positive
"Bitcoin is still concentrated in few hands, study finds ",Bitcoin  ,https://www.moneyweb.co.za/news-fast-news/bitcoin-is-still-concentrated-in-few-hands-study-finds/,26 Oct 2021 / ,"Emily Graffeo, Bloomberg",The top 10 000 individual investors in Bitcoin control about one-third of the cryptocurrency in circulation. ,Positive
Shiba Inu crypto falls from record after Musk damps speculation ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/shiba-inu-crypto-falls-from-record-after-musk-damps-speculation/,25 Oct 2021 / ,"Joanna Ossinger, Bloomberg",It was founded in 2020 by an anonymous person going by the name Ryoshi. ,Neutral
Walmart shoppers can now buy bitcoin at 200 kiosks in its stores ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/walmart-shoppers-can-now-buy-bitcoin-at-200-kiosks-in-its-stores/,24 Oct 2021 / ,"Brendan Case and Vildana Hajric, Bloomberg","'Walmart expands Bitcoin access to more people, though, and gives it further legitimacy among skeptics, should they roll it out beyond an initial pilot.' ",Positive
